idx,idx1,idx2,address1,address2,opcode1,opcode2,instruction1,instruction2,matching1,src_file,srccode
1,1,1,0000,0000,c3 52 00,c3 52 00,jp $0052,jp $0052,jp $0000,agon_init.asm,JP	_start				; Jump to start
2,2,2,0003,0003,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
3,3,3,0004,0004,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
4,4,4,0005,0005,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
5,5,5,0006,0006,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
6,6,6,0007,0007,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
7,7,7,0008,0008,49 cf,49 cf,rst.lis $08,rst.lis $08,rst.lis $00,agon_init.asm,RST_08:			RST.LIS	08h				; API call
8,8,8,000a,000a,c9,c9,ret,ret,ret,agon_init.asm,RET
9,9,9,000b,000b,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
10,10,10,000c,000c,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
11,11,11,000d,000d,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
12,12,12,000e,000e,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
13,13,13,000f,000f,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
14,14,14,0010,0010,49 d7,49 d7,rst.lis $10,rst.lis $10,rst.lis $00,agon_init.asm,RST_10:			RST.LIS 10h				; Output
15,15,15,0012,0012,c9,c9,ret,ret,ret,agon_init.asm,RET
16,16,16,0013,0013,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
17,17,17,0014,0014,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
18,18,18,0015,0015,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
19,19,19,0016,0016,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
20,20,20,0017,0017,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
21,21,21,0018,0018,49 df,49 df,rst.lis $18,rst.lis $18,rst.lis $00,agon_init.asm,RST_18:			RST.LIS	18h				; Block Output
22,22,22,001a,001a,c9,c9,ret,ret,ret,agon_init.asm,RET
23,23,23,001b,001b,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
24,24,24,001c,001c,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
25,25,25,001d,001d,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
26,26,26,001e,001e,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
27,27,27,001f,001f,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
28,28,28,0020,0020,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
29,29,29,0021,0021,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
30,30,30,0022,0022,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
31,31,31,0023,0023,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
32,32,32,0024,0024,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
33,33,33,0025,0025,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
34,34,34,0026,0026,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
35,35,35,0027,0027,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
36,36,36,0028,0028,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
37,37,37,0029,0029,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
38,38,38,002a,002a,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
39,39,39,002b,002b,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
40,40,40,002c,002c,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
41,41,41,002d,002d,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
42,42,42,002e,002e,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
43,43,43,002f,002f,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
44,44,44,0030,0030,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
45,45,45,0031,0031,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
46,46,46,0032,0032,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
47,47,47,0033,0033,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
48,48,48,0034,0034,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
49,49,49,0035,0035,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
50,50,50,0036,0036,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
51,51,51,0037,0037,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
52,52,52,0038,0038,fb,fb,ei,ei,ei,agon_init.asm,RST_38:			EI
53,53,53,0039,0039,ed 4d,ed 4d,reti,reti,reti,agon_init.asm,RETI
54,54,54,003b,003b,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,ALIGN	64
55,55,55,003c,003c,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
56,56,56,003d,003d,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
57,57,57,003e,003e,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
58,58,58,003f,003f,ff,ff,rst $38,rst $38,rst $00,agon_init.asm,
59,59,59,0040,0040,4d,4d,"ld c,l","ld c,l","ld c,l",agon_init.asm,"DB	""MOS""				; Flag for MOS - to confirm this is a valid MOS command"
60,60,60,0041,0041,4f,4f,"ld c,a","ld c,a","ld c,a",agon_init.asm,
61,61,61,0042,0042,53,53,"ld d,e","ld d,e","ld d,e",agon_init.asm,
62,62,62,0043,0043,00,00,nop,nop,nop,agon_init.asm,DB	00h				; MOS header version 0
63,63,63,0044,0044,00,00,nop,nop,nop,agon_init.asm,"DB	00h				; Flag for run mode (0: Z80, 1: ADL)"
64,64,64,0045,0045,42,42,"ld b,d","ld b,d","ld b,d",agon_init.asm,"_exec_name:		DB	""BBCBASIC.BIN"", 0		; The executable name, only used in argv"
65,65,65,0046,0046,42,42,"ld b,d","ld b,d","ld b,d",agon_init.asm,
66,66,66,0047,0047,43,43,"ld b,e","ld b,e","ld b,e",agon_init.asm,
67,67,67,0048,0048,42,42,"ld b,d","ld b,d","ld b,d",agon_init.asm,
68,68,68,0049,0049,41,41,"ld b,c","ld b,c","ld b,c",agon_init.asm,
69,69,69,004a,004a,53,53,"ld d,e","ld d,e","ld d,e",agon_init.asm,
70,70,70,004b,004b,49 43,49 43,"ld.lis b,e","ld.lis b,e","ld.lis b,e",agon_init.asm,
71,71,71,004d,004d,2e 42,2e 42,"ld l,$42","ld l,$42","ld l,$00",agon_init.asm,
72,72,72,004f,004f,49 4e,49 4e,"ld.lis c,(hl)","ld.lis c,(hl)","ld.lis c,(hl)",agon_init.asm,
73,73,73,0051,0051,00,00,nop,nop,nop,agon_init.asm,
74,74,74,0052,0052,5b fd e5,5b fd e5,push.lil iy,push.lil iy,push.lil iy,agon_init.asm,_start:			PUSH.LIL	IY			; Preserve IY
75,75,75,0055,0055,fd 21 00 00,fd 21 00 00,"ld iy,$0000","ld iy,$0000","ld iy,$0000",agon_init.asm,"LD		IY, 0			; Preserve SPS"
76,76,76,0059,0059,fd 39,fd 39,"add iy,sp","add iy,sp","add iy,sp",agon_init.asm,"ADD		IY, SP"
77,77,77,005b,005b,5b fd e5,5b fd e5,push.lil iy,push.lil iy,push.lil iy,agon_init.asm,PUSH.LIL	IY
78,78,78,005e,005e,e3,e3,"ex (sp),hl","ex (sp),hl","ex (sp),hl",agon_init.asm,"EX		(SP), HL		; Get the SPS part of the return address"
79,79,79,005f,005f,5b e5,5b e5,push.lil hl,push.lil hl,push.lil hl,agon_init.asm,PUSH.LIL	HL
80,80,80,0061,0061,e3,e3,"ex (sp),hl","ex (sp),hl","ex (sp),hl",agon_init.asm,"EX		(SP), HL		; And restore it for BASIC"
81,81,81,0062,0062,5b f5,5b f5,push.lil af,push.lil af,push.lil af,agon_init.asm,PUSH.LIL	AF			; Preserve the rest of the registers
82,82,82,0064,0064,5b c5,5b c5,push.lil bc,push.lil bc,push.lil bc,agon_init.asm,PUSH.LIL	BC
83,83,83,0066,0066,5b d5,5b d5,push.lil de,push.lil de,push.lil de,agon_init.asm,PUSH.LIL	DE
84,84,84,0068,0068,5b dd e5,5b dd e5,push.lil ix,push.lil ix,push.lil ix,agon_init.asm,PUSH.LIL	IX
85,85,85,006b,006b,ed 6e,ed 6e,"ld a,mb","ld a,mb","ld a,mb",agon_init.asm,"LD		A, MB			; Segment base"
